,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),Number of Gears
131,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A,Z,16.3,10.9,13.9,320,8
132,BMW,X6 M,SUV - STANDARD,4.4,8,A,Z,18.1,13.7,16.1,370,6
133,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A,Z,13.6,9.8,11.9,274,8
134,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A,Z,16.4,11.3,14.1,324,8
135,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A,Z,10.8,7.1,9.1,209,8
136,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M,Z,10.4,6.7,8.7,200,6
137,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM,Z,13.7,10.1,12.1,278,7
138,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M,Z,12.7,9.0,11.0,253,6
139,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM,Z,13.7,10.1,12.1,278,7
140,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A,X,14.3,9.9,12.3,283,6
141,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A,X,14.6,10.2,12.6,290,6
142,BUICK,ENCORE,SUV - SMALL,1.4,4,AS,X,9.5,7.2,8.5,196,6
143,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS,X,10.2,8.0,9.2,212,6
144,BUICK,LACROSSE,MID-SIZE,3.6,6,AS,X,13.7,8.7,11.5,264,6
145,BUICK,LACROSSE,MID-SIZE,3.6,6,AS,E,18.4,12.2,15.6,250,6
146,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS,X,13.7,8.9,11.5,264,6
147,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS,E,19.4,13.0,16.5,264,6
148,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS,X,9.6,6.5,8.2,189,6
149,BUICK,REGAL,MID-SIZE,2.0,4,AS,Z,11.5,7.9,9.9,228,6
150,BUICK,REGAL,MID-SIZE,2.0,4,M,Z,11.6,7.5,9.8,225,6
151,BUICK,REGAL AWD,MID-SIZE,2.0,4,AS,Z,12.3,8.7,10.7,246,6
152,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS,X,9.6,6.5,8.2,189,6
153,BUICK,VERANO,COMPACT,2.0,4,AS,Z,11.5,7.9,9.9,228,6
154,BUICK,VERANO,COMPACT,2.0,4,M,Z,11.6,7.5,9.8,225,6
155,BUICK,VERANO,COMPACT,2.4,4,AS,X,11.3,7.4,9.5,218,6
156,CADILLAC,ATS,COMPACT,2.0,4,AS,Z,11.3,7.5,9.6,221,6
157,CADILLAC,ATS,COMPACT,2.0,4,M,Z,12.1,7.9,10.2,235,6
158,CADILLAC,ATS,COMPACT,2.5,4,AS,X,10.5,7.2,9.0,207,6
159,CADILLAC,ATS,COMPACT,3.6,6,AS,X,12.8,8.5,10.9,251,6
160,CADILLAC,ATS AWD,COMPACT,2.0,4,AS,Z,11.8,8.1,10.1,232,6
161,CADILLAC,ATS AWD,COMPACT,3.6,6,AS,X,13.1,9.0,11.3,260,6
162,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS,X,13.2,8.7,11.2,258,6
163,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS,X,13.3,9.0,11.4,262,6
164,CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS,Z,11.9,7.9,10.1,232,6
165,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS,X,12.9,8.2,10.8,248,8
166,CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS,Z,12.6,8.5,10.8,248,6
167,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS,X,13.1,9.0,11.3,260,6
168,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS,Z,15.1,9.9,12.8,294,8
169,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS,X,12.7,8.9,11.0,253,6
170,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS,X,13.3,8.9,11.3,260,6
171,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS,X,12.8,9.1,11.1,255,6
172,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS,X,13.3,9.0,11.4,262,6
173,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS,Z,19.7,12.9,16.6,382,6
174,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M,Z,16.7,12.5,14.8,340,6
175,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS,Z,19.7,12.9,16.6,382,6
176,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M,Z,16.7,12.5,14.8,340,6
177,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS,Z,19.7,12.9,16.6,382,6
178,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M,Z,16.7,12.5,14.8,340,6
179,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A,Z,17.0,11.8,14.7,338,6
180,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A,E,23.3,16.1,20.1,322,6
181,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A,Z,18.8,13.4,16.4,377,6
182,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A,E,25.7,17.8,22.1,354,6
183,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS,X,14.3,9.8,12.3,283,6
184,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS,X,14.8,10.4,12.8,294,6
185,CADILLAC,XTS,FULL-SIZE,3.6,6,AS,X,13.6,8.6,11.4,262,6
186,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS,X,14.0,9.1,11.8,271,6
187,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS,Z,14.8,9.8,12.6,290,6
188,CHEVROLET,CAMARO,COMPACT,3.6,6,AS,X,13.2,8.7,11.2,258,6
189,CHEVROLET,CAMARO,COMPACT,3.6,6,M,X,14.2,8.6,11.7,269,6
190,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS,X,12.7,7.9,10.5,242,6
191,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS,Z,15.3,9.8,12.8,294,6
192,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M,Z,15.0,9.9,12.7,292,6
193,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS,Z,19.7,12.9,16.6,382,6
194,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M,Z,16.7,12.5,14.8,340,6
195,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS,Z,14.9,8.5,12.0,276,6
196,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M,Z,13.7,8.2,11.2,258,7
197,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS,X,9.1,6.3,7.8,179,6
198,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M,X,9.1,6.3,7.8,179,6
199,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS,X,10.5,6.7,8.8,202,6
200,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M,X,9.5,6.5,8.2,189,6
201,CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS,D,8.7,5.1,7.1,192,6
202,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A,X,9.1,6.0,7.7,177,6
203,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M,X,8.4,5.6,7.1,163,6
204,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A,X,10.5,7.3,9.1,209,6
205,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A,X,13.9,9.6,12.0,276,6
206,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A,E,18.8,13.1,16.2,259,6
207,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A,X,11.5,8.2,10.0,230,6
208,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A,X,14.8,9.9,12.6,290,6
209,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A,E,19.8,13.6,17.0,272,6
210,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A,X,17.1,12.7,15.1,347,4
211,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A,X,18.0,13.4,15.9,366,4
212,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A,E,23.5,17.7,20.9,334,4
213,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A,X,18.3,14.2,16.5,380,4
214,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A,E,23.7,18.8,21.5,344,4
215,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A,X,18.6,13.9,16.5,380,4
216,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A,E,23.9,18.5,21.5,344,4
217,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A,X,18.3,14.2,16.5,380,4
218,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A,E,25.3,19.3,22.6,362,4
219,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A,X,18.6,13.9,16.5,380,4
220,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A,E,23.9,18.5,21.5,344,4
221,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A,X,18.3,14.2,16.5,380,4
222,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A,E,25.3,19.3,22.6,362,4
229,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS,X,11.3,7.5,9.6,221,6
230,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS,X,12.6,8.2,10.6,244,6
231,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS,E,16.7,11.3,14.3,229,6
232,CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS,X,10.0,7.0,8.7,200,6
233,CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS,Z,11.5,7.9,9.9,228,6
234,CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS,X,9.3,6.4,8.0,184,6
235,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS,X,12.2,8.6,10.6,244,6
236,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M,X,11.8,8.3,10.2,235,6
237,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A,X,13.4,9.9,11.8,271,6
238,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A,E,18.9,14.2,16.8,269,6
239,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A,X,14.6,10.3,12.7,292,6
240,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A,E,19.5,13.7,16.9,270,6
241,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A,Z,16.3,11.4,14.1,324,6
242,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A,X,14.2,10.6,12.6,290,6
243,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A,E,20.0,15.1,17.8,285,6
244,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A,X,14.9,10.6,13.0,299,6
245,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A,E,19.9,14.2,17.3,277,6
246,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A,Z,16.4,11.7,14.3,329,6
247,CHEVROLET,SONIC,COMPACT,1.4,4,AS,X,9.1,6.7,8.0,184,6
248,CHEVROLET,SONIC,COMPACT,1.4,4,M,X,8.5,6.2,7.5,173,6
249,CHEVROLET,SONIC,COMPACT,1.8,4,AS,X,9.6,6.6,8.3,191,6
250,CHEVROLET,SONIC,COMPACT,1.8,4,M,X,8.9,6.7,7.9,182,5
251,CHEVROLET,SONIC RS,COMPACT,1.4,4,AS,X,9.4,7.0,8.3,191,6
252,CHEVROLET,SONIC RS,COMPACT,1.4,4,M,X,8.8,7.0,8.0,184,6
253,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS,X,9.1,6.7,8.0,184,6
254,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M,X,8.5,6.2,7.5,172,6
255,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS,X,9.6,6.6,8.3,191,6
256,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M,X,8.9,6.7,7.9,182,5
257,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS,X,9.4,7.0,8.3,191,6
258,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M,X,8.8,7.0,8.0,184,6
259,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M,X,7.6,6.0,6.9,159,5
260,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A,X,16.0,11.1,13.8,317,6
261,CHEVROLET,SUBURBAN,SUV - STANDARD,5.3,8,A,E,21.5,14.6,18.4,294,6
262,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A,X,16.0,11.1,13.8,317,6
263,CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A,E,21.5,14.6,18.4,294,6
264,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A,X,16.0,11.1,13.8,317,6
265,CHEVROLET,TAHOE,SUV - STANDARD,5.3,8,A,E,21.5,14.6,18.4,294,6
266,CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A,X,16.0,11.1,13.8,317,6
