,Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),CO2 Emissions(g/km),Number of Gears
66,AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,A,Z,10.4,7.6,9.1,209,6.0
67,AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,A,Z,11.5,8.8,10.3,237,6.0
68,AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,A,Z,11.5,8.8,10.3,237,6.0
69,BENTLEY,CONTINENTAL GT,SUBCOMPACT,4.0,8,AS,Z,16.3,9.8,13.4,314,8.0
70,BENTLEY,CONTINENTAL GT,SUBCOMPACT,6.0,12,AS,Z,18.8,11.5,15.5,356,8.0
71,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4.0,8,AS,Z,17.4,10.2,14.2,332,8.0
72,BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6.0,12,AS,Z,20.0,12.2,16.5,380,8.0
73,BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6.0,12,AS,Z,20.0,12.2,16.5,380,8.0
74,BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS,Z,20.3,11.9,16.5,388,8.0
76,BMW,320i,COMPACT,2.0,4,A,Z,10.0,6.5,8.4,193,8.0
77,BMW,320i,COMPACT,2.0,4,M,Z,10.4,6.7,8.7,200,6.0
78,BMW,320i xDRIVE,COMPACT,2.0,4,A,Z,10.2,7.0,8.8,202,8.0
79,BMW,328d xDRIVE,COMPACT,2.0,4,A,D,7.6,5.5,6.7,181,8.0
80,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A,D,7.6,5.5,6.7,181,8.0
81,BMW,328i,COMPACT,2.0,4,A,Z,10.0,6.5,8.4,193,8.0
82,BMW,328i,COMPACT,2.0,4,M,Z,10.4,6.7,8.7,200,6.0
83,BMW,328i xDRIVE,COMPACT,2.0,4,A,Z,10.6,7.2,9.1,209,8.0
84,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,A,Z,10.6,7.2,9.1,209,8.0
85,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,A,Z,10.6,7.2,9.1,209,8.0
86,BMW,335i,COMPACT,3.0,6,A,Z,11.4,7.3,9.6,221,8.0
87,BMW,335i,COMPACT,3.0,6,M,Z,11.8,7.9,10.0,230,6.0
88,BMW,335i xDRIVE,COMPACT,3.0,6,A,Z,11.7,7.8,9.9,228,8.0
89,BMW,335i xDRIVE,COMPACT,3.0,6,M,Z,11.9,8.3,10.3,237,6.0
90,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A,Z,11.9,8.0,10.1,232,8.0
91,BMW,428i COUPE,COMPACT,2.0,4,A,Z,10.0,6.5,8.4,193,8.0
92,BMW,428i COUPE,COMPACT,2.0,4,M,Z,10.4,6.7,8.7,200,6.0
93,BMW,428i xDRIVE COUPE,COMPACT,2.0,4,A,Z,10.6,7.2,9.1,209,8.0
94,BMW,435i COUPE,COMPACT,3.0,6,A,Z,11.4,7.3,9.6,221,8.0
95,BMW,435i COUPE,COMPACT,3.0,6,M,Z,11.8,7.9,10.0,230,6.0
96,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,A,Z,11.7,7.8,9.9,228,8.0
97,BMW,435i xDRIVE COUPE,COMPACT,3.0,6,M,Z,11.9,8.3,10.3,237,6.0
98,BMW,528i,MID-SIZE,2.0,4,A,Z,10.2,7.0,8.8,202,8.0
99,BMW,528i xDRIVE,MID-SIZE,2.0,4,A,Z,10.6,7.2,9.1,209,8.0
100,BMW,535d xDRIVE,MID-SIZE,3.0,6,A,D,9.2,6.4,7.9,213,8.0
101,BMW,535i xDRIVE,MID-SIZE,3.0,6,A,Z,11.9,8.0,10.1,232,8.0
102,BMW,535i xDRIVE GRAN TURISMO,FULL-SIZE,3.0,6,A,Z,12.5,8.6,10.7,246,8.0
103,BMW,550i xDRIVE,MID-SIZE,4.4,8,A,Z,14.4,9.6,12.2,281,8.0
104,BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,292,8.0
105,BMW,640i xDRIVE GRAN COUPE,COMPACT,3.0,6,A,Z,11.9,8.0,10.1,232,8.0
106,BMW,650i xDRIVE CABRIOLET,SUBCOMPACT,4.4,8,A,Z,15.0,9.8,12.7,292,8.0
107,BMW,650i xDRIVE COUPE,COMPACT,4.4,8,A,Z,14.4,9.6,12.2,281,8.0
108,BMW,650i xDRIVE GRAN COUPE,COMPACT,4.4,8,A,Z,15.0,9.8,12.7,292,8.0
109,BMW,740Li xDRIVE,FULL-SIZE,3.0,6,A,Z,12.5,8.6,10.7,246,8.0
110,BMW,750i xDRIVE,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,292,8.0
111,BMW,750Li xDRIVE,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,292,8.0
112,BMW,760Li,FULL-SIZE,6.0,12,A,Z,18.7,11.5,15.5,356,8.0
113,BMW,ACTIVEHYBRID 3,COMPACT,3.0,6,A,Z,9.2,7.1,8.3,191,8.0
114,BMW,ACTIVEHYBRID 5,MID-SIZE,3.0,6,A,Z,10.5,7.9,9.3,214,8.0
115,BMW,ACTIVEHYBRID 7L,FULL-SIZE,3.0,6,A,Z,10.5,7.6,9.2,212,8.0
116,BMW,ALPINA B7 xDRIVE LWB,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,292,8.0
117,BMW,ALPINA B7 xDRIVE SWB,FULL-SIZE,4.4,8,A,Z,15.0,9.8,12.7,292,8.0
118,BMW,M5,MID-SIZE,4.4,8,AM,Z,17.3,11.5,14.7,338,7.0
119,BMW,M5,MID-SIZE,4.4,8,M,Z,16.2,10.9,13.8,317,6.0
120,BMW,M6,COMPACT,4.4,8,AM,Z,17.3,11.5,14.7,338,7.0
121,BMW,M6,COMPACT,4.4,8,M,Z,16.2,10.9,13.8,317,6.0
122,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM,Z,17.3,11.5,14.7,338,7.0
123,BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,M,Z,16.2,10.9,13.8,317,6.0
124,BMW,M6 GRAN COUPE,COMPACT,4.4,8,AM,Z,17.3,11.5,14.7,338,7.0
125,BMW,M6 GRAN COUPE,COMPACT,4.4,8,M,Z,16.2,10.9,13.8,317,6.0
126,BMW,X1 xDRIVE28i,SUV - SMALL,2.0,4,A,Z,10.6,7.2,9.1,209,8.0
127,BMW,X1 xDRIVE35i,SUV - SMALL,3.0,6,A,Z,13.2,8.9,11.3,260,6.0
128,BMW,X3 xDRIVE28i,SUV - SMALL,2.0,4,A,Z,11.2,8.5,10.0,230,8.0
129,BMW,X3 xDRIVE35i,SUV - SMALL,3.0,6,A,Z,12.6,9.1,11.0,253,8.0
130,BMW,X5 xDRIVE35i,SUV - STANDARD,3.0,6,A,Z,12.9,8.8,11.1,255,8.0
131,BMW,X5 xDRIVE50i,SUV - STANDARD,4.4,8,A,Z,16.3,10.9,13.9,320,8.0
132,BMW,X6 M,SUV - STANDARD,4.4,8,A,Z,18.1,13.7,16.1,370,6.0
133,BMW,X6 xDRIVE35i,SUV - STANDARD,3.0,6,A,Z,13.6,9.8,11.9,274,8.0
134,BMW,X6 xDRIVE50i,SUV - STANDARD,4.4,8,A,Z,16.4,11.3,14.1,324,8.0
135,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,A,Z,10.8,7.1,9.1,209,8.0
136,BMW,Z4 sDRIVE28i,TWO-SEATER,2.0,4,M,Z,10.4,6.7,8.7,200,6.0
137,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM,Z,13.7,10.1,12.1,278,7.0
138,BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,M,Z,12.7,9.0,11.0,253,6.0
139,BMW,Z4 sDRIVE35is,TWO-SEATER,3.0,6,AM,Z,13.7,10.1,12.1,278,7.0
140,BUICK,ENCLAVE,SUV - STANDARD,3.6,6,A,X,14.3,9.9,12.3,283,6.0
141,BUICK,ENCLAVE AWD,SUV - STANDARD,3.6,6,A,X,14.6,10.2,12.6,290,6.0
142,BUICK,ENCORE,SUV - SMALL,1.4,4,AS,X,9.5,7.2,8.5,196,6.0
143,BUICK,ENCORE AWD,SUV - SMALL,1.4,4,AS,X,10.2,8.0,9.2,212,6.0
144,BUICK,LACROSSE,MID-SIZE,3.6,6,AS,X,13.7,8.7,11.5,264,6.0
145,BUICK,LACROSSE,MID-SIZE,3.6,6,AS,E,18.4,12.2,15.6,250,6.0
146,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS,X,13.7,8.9,11.5,264,6.0
147,BUICK,LACROSSE AWD,MID-SIZE,3.6,6,AS,E,19.4,13.0,16.5,264,6.0
148,BUICK,LACROSSE eASSIST,MID-SIZE,2.4,4,AS,X,9.6,6.5,8.2,189,6.0
149,BUICK,REGAL,MID-SIZE,2.0,4,AS,Z,11.5,7.9,9.9,228,6.0
150,BUICK,REGAL,MID-SIZE,2.0,4,M,Z,11.6,7.5,9.8,225,6.0
151,BUICK,REGAL AWD,MID-SIZE,2.0,4,AS,Z,12.3,8.7,10.7,246,6.0
152,BUICK,REGAL eASSIST,MID-SIZE,2.4,4,AS,X,9.6,6.5,8.2,189,6.0
153,BUICK,VERANO,COMPACT,2.0,4,AS,Z,11.5,7.9,9.9,228,6.0
154,BUICK,VERANO,COMPACT,2.0,4,M,Z,11.6,7.5,9.8,225,6.0
155,BUICK,VERANO,COMPACT,2.4,4,AS,X,11.3,7.4,9.5,218,6.0
156,CADILLAC,ATS,COMPACT,2.0,4,AS,Z,11.3,7.5,9.6,221,6.0
157,CADILLAC,ATS,COMPACT,2.0,4,M,Z,12.1,7.9,10.2,235,6.0
158,CADILLAC,ATS,COMPACT,2.5,4,AS,X,10.5,7.2,9.0,207,6.0
159,CADILLAC,ATS,COMPACT,3.6,6,AS,X,12.8,8.5,10.9,251,6.0
160,CADILLAC,ATS AWD,COMPACT,2.0,4,AS,Z,11.8,8.1,10.1,232,6.0
161,CADILLAC,ATS AWD,COMPACT,3.6,6,AS,X,13.1,9.0,11.3,260,6.0
162,CADILLAC,CTS COUPE,MID-SIZE,3.6,6,AS,X,13.2,8.7,11.2,258,6.0
163,CADILLAC,CTS COUPE AWD,MID-SIZE,3.6,6,AS,X,13.3,9.0,11.4,262,6.0
164,CADILLAC,CTS SEDAN,MID-SIZE,2.0,4,AS,Z,11.9,7.9,10.1,232,6.0
165,CADILLAC,CTS SEDAN,MID-SIZE,3.6,6,AS,X,12.9,8.2,10.8,248,8.0
166,CADILLAC,CTS SEDAN AWD,MID-SIZE,2.0,4,AS,Z,12.6,8.5,10.8,248,6.0
167,CADILLAC,CTS SEDAN AWD,MID-SIZE,3.6,6,AS,X,13.1,9.0,11.3,260,6.0
168,CADILLAC,CTS SEDAN Vsport,MID-SIZE,3.6,6,AS,Z,15.1,9.9,12.8,294,8.0
169,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.0,6,AS,X,12.7,8.9,11.0,253,6.0
170,CADILLAC,CTS SPORT WAGON,STATION WAGON - SMALL,3.6,6,AS,X,13.3,8.9,11.3,260,6.0
171,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.0,6,AS,X,12.8,9.1,11.1,255,6.0
172,CADILLAC,CTS SPORT WAGON AWD,STATION WAGON - SMALL,3.6,6,AS,X,13.3,9.0,11.4,262,6.0
173,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,AS,Z,19.7,12.9,16.6,382,6.0
174,CADILLAC,CTS-V COUPE,MID-SIZE,6.2,8,M,Z,16.7,12.5,14.8,340,6.0
175,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,AS,Z,19.7,12.9,16.6,382,6.0
176,CADILLAC,CTS-V SEDAN,MID-SIZE,6.2,8,M,Z,16.7,12.5,14.8,340,6.0
177,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,AS,Z,19.7,12.9,16.6,382,6.0
178,CADILLAC,CTS-V SPORT WAGON,STATION WAGON - SMALL,6.2,8,M,Z,16.7,12.5,14.8,340,6.0
179,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A,Z,17.0,11.8,14.7,338,6.0
180,CADILLAC,ESCALADE AWD,SUV - STANDARD,6.2,8,A,E,23.3,16.1,20.1,322,6.0
181,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A,Z,18.8,13.4,16.4,377,6.0
182,CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A,E,25.7,17.8,22.1,354,6.0
183,CADILLAC,SRX,SUV - STANDARD,3.6,6,AS,X,14.3,9.8,12.3,283,6.0
184,CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS,X,14.8,10.4,12.8,294,6.0
185,CADILLAC,XTS,FULL-SIZE,3.6,6,AS,X,13.6,8.6,11.4,262,6.0
186,CADILLAC,XTS AWD,FULL-SIZE,3.6,6,AS,X,14.0,9.1,11.8,271,6.0
187,CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS,Z,14.8,9.8,12.6,290,6.0
188,CHEVROLET,CAMARO,COMPACT,3.6,6,AS,X,13.2,8.7,11.2,258,6.0
189,CHEVROLET,CAMARO,COMPACT,3.6,6,M,X,14.2,8.6,11.7,269,6.0
190,CHEVROLET,CAMARO 2LS,COMPACT,3.6,6,AS,X,12.7,7.9,10.5,242,6.0
191,CHEVROLET,CAMARO SS,COMPACT,6.2,8,AS,Z,15.3,9.8,12.8,294,6.0
192,CHEVROLET,CAMARO SS,COMPACT,6.2,8,M,Z,15.0,9.9,12.7,292,6.0
193,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,AS,Z,19.7,12.9,16.6,382,6.0
194,CHEVROLET,CAMARO ZL1,COMPACT,6.2,8,M,Z,16.7,12.5,14.8,340,6.0
195,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,AS,Z,14.9,8.5,12.0,276,6.0
196,CHEVROLET,CORVETTE,TWO-SEATER,6.2,8,M,Z,13.7,8.2,11.2,258,7.0
197,CHEVROLET,CRUZE,MID-SIZE,1.4,4,AS,X,9.1,6.3,7.8,179,6.0
198,CHEVROLET,CRUZE,MID-SIZE,1.4,4,M,X,9.1,6.3,7.8,179,6.0
199,CHEVROLET,CRUZE,MID-SIZE,1.8,4,AS,X,10.5,6.7,8.8,202,6.0
200,CHEVROLET,CRUZE,MID-SIZE,1.8,4,M,X,9.5,6.5,8.2,189,6.0
201,CHEVROLET,CRUZE DIESEL,MID-SIZE,2.0,4,AS,D,8.7,5.1,7.1,192,6.0
202,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,A,X,9.1,6.0,7.7,177,6.0
203,CHEVROLET,CRUZE ECO,MID-SIZE,1.4,4,M,X,8.4,5.6,7.1,163,6.0
204,CHEVROLET,EQUINOX,SUV - SMALL,2.4,4,A,X,10.5,7.3,9.1,209,6.0
205,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A,X,13.9,9.6,12.0,276,6.0
206,CHEVROLET,EQUINOX,SUV - SMALL,3.6,6,A,E,18.8,13.1,16.2,259,6.0
207,CHEVROLET,EQUINOX AWD,SUV - SMALL,2.4,4,A,X,11.5,8.2,10.0,230,6.0
208,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A,X,14.8,9.9,12.6,290,6.0
209,CHEVROLET,EQUINOX AWD,SUV - SMALL,3.6,6,A,E,19.8,13.6,17.0,272,6.0
210,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,4.3,6,A,X,17.1,12.7,15.1,347,4.0
211,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A,X,18.0,13.4,15.9,366,4.0
212,CHEVROLET,EXPRESS 1500 CARGO,VAN - CARGO,5.3,8,A,E,23.5,17.7,20.9,334,4.0
213,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A,X,18.3,14.2,16.5,380,4.0
214,CHEVROLET,EXPRESS 1500 CARGO AWD,VAN - CARGO,5.3,8,A,E,23.7,18.8,21.5,344,4.0
215,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A,X,18.6,13.9,16.5,380,4.0
216,CHEVROLET,EXPRESS 1500 CARGO CONV,VAN - CARGO,5.3,8,A,E,23.9,18.5,21.5,344,4.0
217,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A,X,18.3,14.2,16.5,380,4.0
218,CHEVROLET,EXPRESS 1500 CARGO CONV AWD,VAN - CARGO,5.3,8,A,E,25.3,19.3,22.6,362,4.0
219,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A,X,18.6,13.9,16.5,380,4.0
220,CHEVROLET,EXPRESS 1500 PASSENGER,VAN - PASSENGER,5.3,8,A,E,23.9,18.5,21.5,344,4.0
221,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A,X,18.3,14.2,16.5,380,4.0
222,CHEVROLET,EXPRESS 1500 PASSENGER AWD,VAN - PASSENGER,5.3,8,A,E,25.3,19.3,22.6,362,4.0
229,CHEVROLET,IMPALA,FULL-SIZE,2.5,4,AS,X,11.3,7.5,9.6,221,6.0
230,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS,X,12.6,8.2,10.6,244,6.0
231,CHEVROLET,IMPALA,FULL-SIZE,3.6,6,AS,E,16.7,11.3,14.3,229,6.0
232,CHEVROLET,IMPALA ECO,FULL-SIZE,2.4,4,AS,X,10.0,7.0,8.7,200,6.0
233,CHEVROLET,MALIBU,MID-SIZE,2.0,4,AS,Z,11.5,7.9,9.9,228,6.0
234,CHEVROLET,MALIBU,MID-SIZE,2.5,4,AS,X,9.3,6.4,8.0,184,6.0
235,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,AS,X,12.2,8.6,10.6,244,6.0
236,CHEVROLET,ORLANDO,SUV - SMALL,2.4,4,M,X,11.8,8.3,10.2,235,6.0
237,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A,X,13.4,9.9,11.8,271,6.0
238,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,4.3,6,A,E,18.9,14.2,16.8,269,6.0
239,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A,X,14.6,10.3,12.7,292,6.0
240,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,5.3,8,A,E,19.5,13.7,16.9,270,6.0
241,CHEVROLET,SILVERADO,PICKUP TRUCK - STANDARD,6.2,8,A,Z,16.3,11.4,14.1,324,6.0
242,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A,X,14.2,10.6,12.6,290,6.0
243,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,4.3,6,A,E,20.0,15.1,17.8,285,6.0
244,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A,X,14.9,10.6,13.0,299,6.0
245,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A,E,19.9,14.2,17.3,277,6.0
246,CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,6.2,8,A,Z,16.4,11.7,14.3,329,6.0
247,CHEVROLET,SONIC,COMPACT,1.4,4,AS,X,9.1,6.7,8.0,184,6.0
248,CHEVROLET,SONIC,COMPACT,1.4,4,M,X,8.5,6.2,7.5,173,6.0
249,CHEVROLET,SONIC,COMPACT,1.8,4,AS,X,9.6,6.6,8.3,191,6.0
250,CHEVROLET,SONIC,COMPACT,1.8,4,M,X,8.9,6.7,7.9,182,5.0
251,CHEVROLET,SONIC RS,COMPACT,1.4,4,AS,X,9.4,7.0,8.3,191,6.0
252,CHEVROLET,SONIC RS,COMPACT,1.4,4,M,X,8.8,7.0,8.0,184,6.0
253,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,AS,X,9.1,6.7,8.0,184,6.0
254,CHEVROLET,SONIC 5,MID-SIZE,1.4,4,M,X,8.5,6.2,7.5,172,6.0
255,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,AS,X,9.6,6.6,8.3,191,6.0
256,CHEVROLET,SONIC 5,MID-SIZE,1.8,4,M,X,8.9,6.7,7.9,182,5.0
257,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,AS,X,9.4,7.0,8.3,191,6.0
258,CHEVROLET,SONIC 5 RS,MID-SIZE,1.4,4,M,X,8.8,7.0,8.0,184,6.0
259,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,AV,X,7.7,6.0,6.9,159,
260,CHEVROLET,SPARK,SUBCOMPACT,1.2,4,M,X,7.6,6.0,6.9,159,5.0
